Date,Component,Type,Event,Event ID
2025-06-16 09:43:54,sflib,STATUS,Downloading configuration data from: https://publicsuffix.org/list/effective_tld_names.dat,1
2025-06-16 09:43:54,sflib,STATUS,Scan [C05E800D] for '56.228.5.102' initiated.,2
2025-06-16 09:43:54,sflib,STATUS,sfp__stor_db module loaded.,3
2025-06-16 09:43:54,sflib,STATUS,sfp_abstractapi module loaded.,4
2025-06-16 09:43:54,sflib,STATUS,sfp_abusech module loaded.,5
2025-06-16 09:43:54,sflib,STATUS,sfp_abuseipdb module loaded.,6
2025-06-16 09:43:54,sflib,STATUS,sfp_abusix module loaded.,7
2025-06-16 09:43:55,sflib,STATUS,"Fetching (GET): https://raw.githubusercontent.com/WebBreacher/WhatsMyName/main/wmn-data.json (proxy=None, user-agent=SpiderFoot, timeout=30, cookies=None)",8
2025-06-16 09:43:55,sflib,STATUS,Fetched https://raw.githubusercontent.com/WebBreacher/WhatsMyName/main/wmn-data.json (247943 bytes in 0.18576478958129883s),9
2025-06-16 09:43:55,sflib,STATUS,sfp_accounts module loaded.,10
2025-06-16 09:43:55,sflib,STATUS,sfp_adblock module loaded.,11
2025-06-16 09:43:55,sflib,STATUS,sfp_adguard_dns module loaded.,12
2025-06-16 09:43:55,sflib,STATUS,sfp_ahmia module loaded.,13
2025-06-16 09:43:55,sflib,STATUS,sfp_alienvault module loaded.,14
2025-06-16 09:43:55,sflib,STATUS,sfp_alienvaultiprep module loaded.,15
2025-06-16 09:43:55,sflib,STATUS,sfp_apple_itunes module loaded.,16
2025-06-16 09:43:55,sflib,STATUS,sfp_archiveorg module loaded.,17
2025-06-16 09:43:55,sflib,STATUS,sfp_arin module loaded.,18
2025-06-16 09:43:55,sflib,STATUS,sfp_azureblobstorage module loaded.,19
2025-06-16 09:43:55,sflib,STATUS,sfp_base64 module loaded.,20
2025-06-16 09:43:55,sflib,STATUS,sfp_bgpview module loaded.,21
2025-06-16 09:43:55,sflib,STATUS,sfp_binaryedge module loaded.,22
2025-06-16 09:43:55,sflib,STATUS,sfp_bingsearch module loaded.,23
2025-06-16 09:43:55,sflib,STATUS,sfp_bingsharedip module loaded.,24
